Customer ID,Age,Gender,Location,Income,SubscriptionStatus,PreferredPaymentMethod,ShoppingFrequency
CUST0001,58,Female,Los Angeles,45448,Yes,Mobile Wallet,Weekly
CUST0002,25,Male,Phoenix,61270,Yes,Credit Card,Weekly
CUST0003,19,Female,Houston,70026,Yes,Mobile Wallet,Quarterly
CUST0004,65,Female,Phoenix,45328,No,Debit Card,Monthly
CUST0005,35,Female,New York,53992,No,Cash,Monthly
CUST0006,33,Female,Houston,78929,No,PayPal,Quarterly
CUST0007,32,Female,Phoenix,48528,No,Cash,Monthly
CUST0008,26,Female,Chicago,96954,No,Credit Card,Quarterly
CUST0009,65,Female,Chicago,80916,Yes,Mobile Wallet,Weekly
CUST0010,24,Female,Houston,84819,Yes,Cash,Quarterly
CUST0011,61,Female,Los Angeles,108174,No,Debit Card,Weekly
CUST0012,65,Female,Houston,48070,Yes,Credit Card,Quarterly
CUST0013,52,Female,Chicago,105340,No,Credit Card,Weekly
CUST0014,23,Male,Houston,80293,No,PayPal,Weekly
CUST0015,55,Male,New York,85448,No,Cash,Quarterly
CUST0016,45,Male,New York,54347,Yes,Mobile Wallet,Quarterly
CUST0017,20,Female,Los Angeles,93788,Yes,Credit Card,Quarterly
CUST0018,19,Male,Houston,113296,Yes,Debit Card,Quarterly
CUST0019,23,Male,Houston,100435,No,Debit Card,Weekly
CUST0020,31,Male,Houston,114575,No,Mobile Wallet,Monthly
CUST0021,32,Male,Houston,52706,Yes,Debit Card,Quarterly
CUST0022,50,Female,Los Angeles,102733,Yes,PayPal,Quarterly
CUST0023,56,Female,Chicago,51871,Yes,Mobile Wallet,Quarterly
CUST0024,19,Female,Phoenix,94178,Yes,Debit Card,Quarterly
CUST0025,53,Male,Los Angeles,67858,Yes,PayPal,Monthly
CUST0026,30,Male,Chicago,48388,Yes,Debit Card,Monthly
CUST0027,63,Female,Chicago,54523,Yes,Cash,Quarterly
CUST0028,59,Male,Chicago,71232,Yes,Mobile Wallet,Monthly
CUST0029,62,Female,Houston,89113,No,Debit Card,Monthly
CUST0030,52,Male,Los Angeles,111187,Yes,Debit Card,Quarterly
CUST0031,44,Female,Chicago,37026,No,PayPal,Quarterly
CUST0032,32,Male,Phoenix,77059,Yes,Cash,Quarterly
CUST0033,46,Male,Phoenix,31256,No,Cash,Monthly
CUST0034,55,Female,New York,93518,No,PayPal,Weekly
CUST0035,35,Male,Chicago,47895,No,Cash,Quarterly
CUST0036,69,Male,Los Angeles,55575,No,Debit Card,Quarterly
CUST0037,18,Female,Houston,80324,Yes,Debit Card,Monthly
CUST0038,66,Male,New York,103607,Yes,Cash,Quarterly
CUST0039,69,Female,Chicago,96248,Yes,Debit Card,Quarterly
CUST0040,28,Male,Houston,115599,No,Cash,Quarterly
CUST0041,62,Male,Los Angeles,94876,No,PayPal,Monthly
CUST0042,45,Female,Los Angeles,83626,No,Mobile Wallet,Monthly
CUST0043,39,Female,New York,119744,Yes,PayPal,Weekly
CUST0044,35,Female,New York,94451,No,Mobile Wallet,Quarterly
CUST0045,27,Female,Chicago,84477,No,PayPal,Weekly
CUST0046,31,Female,Houston,88176,No,Credit Card,Quarterly
CUST0047,66,Male,Phoenix,94054,Yes,Debit Card,Monthly
CUST0048,39,Male,Houston,51922,No,PayPal,Weekly
CUST0049,24,Female,Los Angeles,40835,Yes,Mobile Wallet,Weekly
CUST0050,23,Female,Los Angeles,104107,No,Cash,Weekly
CUST0051,42,Male,Chicago,34044,Yes,Cash,Weekly
CUST0052,24,Male,Phoenix,58905,No,PayPal,Monthly
CUST0053,40,Female,Chicago,68284,Yes,PayPal,Quarterly
CUST0054,40,Female,Los Angeles,34285,Yes,PayPal,Weekly
CUST0055,56,Male,Los Angeles,66025,Yes,Cash,Quarterly
CUST0056,34,Male,Houston,59470,Yes,Credit Card,Weekly
CUST0057,69,Male,Phoenix,100465,Yes,PayPal,Quarterly
CUST0058,20,Male,Houston,67836,Yes,Cash,Monthly
CUST0059,64,Female,Houston,52047,No,Cash,Monthly
CUST0060,47,Male,Chicago,89942,No,PayPal,Weekly
CUST0061,52,Male,Houston,104140,Yes,Mobile Wallet,Monthly
CUST0062,25,Male,New York,94921,Yes,Mobile Wallet,Monthly
CUST0063,42,Female,New York,102053,No,Debit Card,Quarterly
CUST0064,23,Male,Houston,96952,Yes,Cash,Quarterly
CUST0065,53,Female,Phoenix,44838,Yes,Debit Card,Weekly
CUST0066,36,Female,Houston,105066,Yes,Debit Card,Weekly
CUST0067,58,Female,Los Angeles,44969,Yes,Mobile Wallet,Quarterly
CUST0068,57,Female,Los Angeles,65112,No,Mobile Wallet,Weekly
CUST0069,41,Female,Phoenix,101186,No,Credit Card,Quarterly
CUST0070,54,Female,Chicago,78085,No,Cash,Monthly
CUST0071,30,Male,New York,101046,No,Credit Card,Monthly
CUST0072,63,Male,New York,35453,No,PayPal,Weekly
CUST0073,22,Male,Chicago,87850,No,Credit Card,Monthly
CUST0074,20,Male,Houston,101611,No,PayPal,Monthly
CUST0075,60,Female,Phoenix,58644,No,Debit Card,Quarterly
CUST0076,32,Male,Houston,85725,Yes,Cash,Quarterly
CUST0077,67,Male,Chicago,43423,No,Credit Card,Monthly
CUST0078,36,Male,Phoenix,115678,No,Cash,Weekly
CUST0079,23,Male,New York,62444,No,Debit Card,Weekly
CUST0080,32,Male,New York,69021,Yes,Debit Card,Quarterly
CUST0081,24,Male,Houston,34224,Yes,Debit Card,Monthly
CUST0082,42,Male,Los Angeles,88947,No,Debit Card,Monthly
CUST0083,35,Female,Chicago,64447,No,Mobile Wallet,Monthly
CUST0084,47,Female,Chicago,75688,No,Mobile Wallet,Quarterly
CUST0085,58,Female,Houston,41401,Yes,Debit Card,Quarterly
CUST0086,41,Female,Chicago,87549,No,Debit Card,Quarterly
CUST0087,28,Male,New York,45386,Yes,Credit Card,Weekly
CUST0088,41,Male,Houston,61056,No,Cash,Weekly
CUST0089,40,Female,New York,57509,No,Credit Card,Weekly
CUST0090,31,Female,Phoenix,107060,No,Debit Card,Monthly
CUST0091,60,Female,Phoenix,75957,No,Mobile Wallet,Monthly
CUST0092,35,Male,Los Angeles,109988,No,PayPal,Quarterly
CUST0093,62,Male,Chicago,112938,No,Mobile Wallet,Monthly
CUST0094,61,Female,Phoenix,86120,Yes,Mobile Wallet,Monthly
CUST0095,59,Male,Chicago,51755,Yes,Mobile Wallet,Weekly
CUST0096,22,Female,New York,110760,Yes,PayPal,Quarterly
CUST0097,56,Male,Houston,48249,Yes,Debit Card,Weekly
CUST0098,58,Male,Phoenix,57082,No,Debit Card,Monthly
CUST0099,28,Male,Houston,57124,No,Debit Card,Weekly
CUST0100,52,Female,Phoenix,37780,Yes,Mobile Wallet,Quarterly
