Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
CUST1000,51.25,Female,Bag,Apparel,600.06,Phoenix,XL,White,Spring,3.0,No,Standard,Yes,No,15.0,Credit Card,Quarterly
CUST1001,19.3,Female,Shoes,Apparel,458.98,Los Angeles,L,Blue,Winter,1.2,Yes,Standard,Yes,No,49.0,Credit Card,Quarterly
CUST1002,32.3,Male,Shoes,Apparel,475.11,Phoenix,S,Green,Winter,4.6,Yes,Express,Yes,Yes,25.0,Cash,Monthly
CUST1003,29.61,Male,Headphones,Books,168.08,Chicago,XL,Black,Spring,3.7,No,Overnight,No,No,0.0,PayPal,Weekly
CUST1004,56.3,Female,Smartphone,Accessories,660.31,Chicago,XL,Black,Winter,4.6,No,Overnight,No,Yes,47.0,Cash,Monthly
CUST1005,53.19,Male,Laptop,Electronics,374.42,Los Angeles,L,Black,Summer,3.2,Yes,Standard,No,Yes,44.0,Debit Card,Monthly
CUST1006,64.39,Male,Headphones,Footwear,553.27,Chicago,XL,Red,Summer,3.5,Yes,Express,Yes,No,1.0,Cash,Weekly
CUST1007,22.52,Female,Laptop,Books,149.97,Phoenix,S,Blue,Fall,3.1,Yes,Standard,No,Yes,20.0,Debit Card,Quarterly
CUST1008,39.94,Female,Headphones,Books,736.52,Chicago,M,Green,Summer,4.8,No,Express,Yes,Yes,7.0,Credit Card,Weekly
CUST1009,19.55,Male,Book,Footwear,350.05,Los Angeles,S,Red,Summer,5.0,Yes,Overnight,No,No,32.0,PayPal,Monthly
CUST1010,29.37,Male,Book,Electronics,178.09,New York,S,Red,Fall,1.3,Yes,Standard,No,Yes,48.0,PayPal,Quarterly
CUST1011,44.28,Male,T-shirt,Apparel,404.77,Chicago,S,White,Spring,3.1,Yes,Standard,No,Yes,33.0,Cash,Weekly
CUST1012,19.38,Female,Laptop,Apparel,470.15,Houston,M,Blue,Spring,1.8,Yes,Overnight,No,No,29.0,Credit Card,Quarterly
CUST1013,28.34,Female,Laptop,Apparel,350.7,New York,S,Black,Fall,2.2,No,Express,No,No,13.0,Cash,Monthly
CUST1014,51.79,Female,T-shirt,Electronics,295.99,New York,M,Green,Summer,4.8,No,Overnight,Yes,No,43.0,Credit Card,Monthly
CUST1015,46.34,Female,Shoes,Accessories,815.16,New York,M,Black,Fall,2.8,Yes,Express,Yes,Yes,34.0,PayPal,Monthly
CUST1016,29.46,Male,Shoes,Accessories,752.9,Houston,S,Red,Summer,1.4,No,Express,Yes,No,6.0,Debit Card,Quarterly
