A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Approval
a,54.03,0.2,l,p,aa,h,13.16,f,t,0,f,g,132151,33,-
b,62.42,23.17,u,g,cc,v,2.34,t,t,0,f,g,95386,86,+
a,38.87,18.76,u,g,i,h,15.99,f,f,0,f,s,177823,87,-
a,59.82,11.21,l,p,aa,j,2.46,f,t,1,t,s,86126,55,-
a,44.62,1.51,u,p,e,j,13.97,t,t,1,f,p,186504,12,-
b,49.31,18.82,l,g,d,z,8.32,t,f,2,t,p,162023,55,-
a,43.0,11.57,y,p,d,n,10.28,f,f,0,t,s,80863,17,+
a,39.4,28.09,u,g,c,n,18.07,f,t,1,f,s,78291,53,-
a,26.38,16.26,y,p,j,z,17.8,t,t,0,f,g,125659,76,-
b,30.28,28.19,l,gg,i,j,16.36,t,t,1,t,s,190944,42,+
a,29.53,6.61,y,gg,x,j,10.2,f,f,0,t,p,7235,38,-
a,45.11,21.77,y,gg,w,j,14.72,t,t,1,f,g,82733,60,-
a,19.84,18.52,l,gg,d,h,10.26,f,t,2,f,p,62712,41,-
a,65.26,22.18,y,gg,cc,j,17.39,f,t,2,t,g,152545,80,-
b,54.08,6.44,y,g,m,bb,8.06,f,f,0,f,s,198639,78,+
a,35.88,19.95,l,gg,m,v,19.4,f,f,1,f,p,125849,17,-
b,22.04,14.94,y,gg,e,j,18.65,t,t,1,f,g,79823,22,+
b,63.27,22.28,l,gg,i,z,14.83,t,t,0,t,g,104215,53,-
b,59.96,9.81,y,gg,j,v,5.59,t,f,1,t,s,32230,29,-
a,54.14,26.7,l,p,j,h,2.63,t,f,0,t,s,84573,97,-
b,28.48,2.53,l,g,k,z,17.09,t,f,1,f,s,199948,57,+
a,35.94,24.22,y,gg,ff,v,3.31,t,f,0,f,p,40644,67,-
b,18.86,25.84,y,gg,q,z,17.09,t,f,1,t,g,179736,66,-
b,23.78,24.52,y,gg,d,h,9.82,f,f,0,t,s,45203,70,+
b,57.63,15.38,u,g,j,bb,8.13,t,f,1,t,p,66677,17,+
b,53.76,13.15,u,p,e,h,18.06,t,f,2,f,p,156497,6,+
b,46.83,29.89,u,g,cc,h,12.08,f,f,1,t,p,123246,39,+
b,64.06,6.88,l,p,i,z,11.53,t,t,0,t,s,84817,69,-
b,46.25,16.41,y,gg,w,n,11.18,t,t,2,f,s,69806,85,-
b,39.62,20.12,l,gg,k,j,7.42,f,t,1,f,g,42814,64,-
a,32.4,21.03,u,g,e,j,15.71,t,f,2,f,g,70219,67,-
a,66.61,6.12,y,g,r,bb,5.06,t,t,1,t,s,180718,48,+
b,17.71,19.62,l,p,c,bb,18.78,t,f,2,f,p,170956,51,-
b,66.06,24.55,y,p,w,j,17.88,f,f,0,f,p,95345,28,-
b,60.12,1.5,l,g,ff,n,6.75,t,t,1,t,p,100088,20,-
a,20.41,27.35,y,p,r,j,14.59,t,f,1,f,g,69322,89,-
b,45.2,0.89,u,g,x,n,11.46,f,t,0,t,p,21650,77,+
a,62.39,10.68,u,p,ff,bb,6.75,t,t,2,t,g,94242,8,-
a,45.59,0.47,y,g,m,v,19.77,f,t,0,f,g,140262,46,-
a,64.71,2.31,l,g,c,z,0.5,f,f,0,f,p,38196,75,-
a,66.75,27.34,u,g,d,bb,5.05,t,t,2,f,p,170521,41,+
a,37.08,10.65,u,p,cc,bb,10.4,f,f,0,f,s,170733,50,+
b,34.51,12.74,u,p,c,h,10.44,f,t,1,f,s,29709,55,-
b,66.37,6.46,y,p,ff,h,11.78,t,t,1,f,p,80428,50,-
b,51.48,17.91,y,g,q,h,15.03,f,t,1,t,g,9943,69,-
b,19.61,17.84,l,p,r,z,12.47,f,f,0,t,g,174312,19,+
b,15.41,11.17,l,p,d,h,12.01,t,f,1,f,g,176832,87,-
a,45.18,9.99,l,g,aa,n,1.07,t,f,1,t,g,21042,26,-
b,66.02,26.55,y,gg,q,j,7.53,t,t,1,f,g,43894,37,-
b,61.12,11.5,y,g,m,v,4.64,f,t,1,t,s,137941,71,+
a,51.52,14.81,l,p,q,bb,5.31,t,f,1,t,p,192150,64,-
