transaction_id,user_id,amount,location,time,transaction_type,device,previous_fraud,fraud
1,34340,4626.46,Moscow,2024-08-26 13:27:00.941370,Withdrawal,Mobile,0,1
2,31435,71.81,Tokyo,2020-12-14 10:14:43.074241,Transfer,Crypto Wallet,0,0
3,27691,9834.56,Dubai,2023-01-12 07:08:27.609286,Bill Payment,Mobile,0,0
4,15252,9932.46,Tokyo,2024-08-05 09:53:31.916866,Withdrawal,Mobile,0,1
5,24169,517.29,Dubai,2020-01-12 11:23:31.640378,Withdrawal,ATM,0,1
6,26064,7641.76,Las Vegas,2024-03-15 20:35:16.118189,Withdrawal,POS,0,1
7,5422,4063.0,New York,2024-11-02 13:03:49.607567,Bill Payment,Mobile,0,0
8,16757,7364.33,Moscow,2021-10-25 06:28:26.466009,Bill Payment,Mobile,0,1
9,36631,6881.56,London,2021-12-25 16:55:01.680257,Purchase,Crypto Wallet,0,1
10,46028,7679.67,Chicago,2024-06-09 16:58:03.411827,Bill Payment,POS,0,0
11,15414,1214.95,London,2022-01-10 18:27:23.386358,Withdrawal,Mobile,0,0
12,36316,9381.31,Tokyo,2024-05-07 13:57:46.681830,Deposit,Web,0,0
13,42480,4583.76,Dubai,2020-12-14 11:04:07.650970,Withdrawal,ATM,0,1
14,41630,9353.21,London,2024-09-22 13:51:10.860429,Purchase,Web,0,1
15,49666,9551.65,Chicago,2021-07-27 11:21:44.639031,Bill Payment,Crypto Wallet,0,1
16,20760,7533.94,Chicago,2023-07-21 22:17:02.091343,Deposit,ATM,0,0
17,4496,4788.07,London,2022-02-20 03:11:19.718017,Purchase,ATM,0,1
18,21057,2519.87,London,2021-05-15 23:05:00.557353,Deposit,Mobile,0,0
19,20065,2287.5,Chicago,2024-09-13 19:42:18.533863,Withdrawal,POS,0,0
20,16312,6777.92,Los Angeles,2024-12-15 06:14:15.412486,Purchase,POS,0,1
21,13917,5805.23,Dubai,2024-10-01 13:04:20.445424,Bill Payment,Web,0,1
22,2686,8010.78,Las Vegas,2024-06-25 15:25:51.210275,Deposit,ATM,0,1
23,26594,596.8,Dubai,2024-01-25 22:20:43.383150,Bill Payment,Mobile,0,1
24,18342,9584.95,San Francisco,2022-12-05 05:17:10.193050,Deposit,POS,0,0
25,42136,8351.53,New York,2024-08-11 00:45:49.664822,Purchase,Mobile,0,1
26,19897,3925.44,Moscow,2022-01-18 19:34:56.909531,Deposit,Mobile,0,1
27,17749,7891.39,Moscow,2021-07-20 09:37:53.076450,Deposit,Mobile,0,0
28,26308,8682.83,Tokyo,2022-11-03 00:31:52.890907,Deposit,Crypto Wallet,0,1
29,24715,9267.21,Chicago,2020-11-06 16:01:36.468261,Deposit,ATM,0,1
30,25253,6359.63,Las Vegas,2024-09-07 15:57:30.162400,Purchase,ATM,0,1
31,19886,8610.02,New York,2020-10-25 19:58:09.118274,Bill Payment,ATM,0,1
32,9937,4245.58,Tokyo,2024-06-25 11:41:55.604181,Purchase,Mobile,0,0
33,30843,1922.31,San Francisco,2022-04-30 06:25:28.517937,Withdrawal,Crypto Wallet,0,0
34,28108,6523.89,New York,2022-11-10 06:34:30.278889,Transfer,Crypto Wallet,0,0
35,37460,2620.76,San Francisco,2024-03-25 20:48:22.706019,Bill Payment,Web,0,0
36,36902,4939.58,London,2022-03-13 05:54:00.940837,Transfer,Crypto Wallet,0,0
37,2347,8738.12,Miami,2021-08-29 00:20:18.443915,Purchase,Mobile,0,1
38,35056,5495.14,San Francisco,2022-11-01 06:17:27.400242,Bill Payment,Mobile,0,1
39,43061,6639.93,Chicago,2020-06-08 11:42:47.827747,Purchase,ATM,0,1
40,6543,540.99,Tokyo,2024-05-22 13:33:12.348275,Transfer,ATM,0,0
41,49701,8470.62,Chicago,2020-12-18 06:04:35.738056,Deposit,Mobile,0,1
42,12837,9633.14,New York,2023-02-25 12:04:57.168220,Purchase,Web,0,1
43,27009,4677.63,Los Angeles,2021-04-21 17:47:44.604913,Deposit,Web,0,0
44,24673,6046.4,Dubai,2024-08-12 04:41:27.334595,Bill Payment,POS,0,1
45,45175,5587.35,Tokyo,2022-10-10 05:26:19.370486,Bill Payment,Mobile,0,1
46,10231,9777.83,London,2024-01-28 07:29:26.267914,Transfer,Crypto Wallet,0,1
47,31211,3180.36,Dubai,2022-10-28 18:51:27.758836,Withdrawal,ATM,0,1
48,11304,3158.71,Dubai,2023-02-14 04:31:45.878364,Purchase,Web,0,1
49,8462,1968.47,New York,2022-03-21 20:15:39.764589,Deposit,Crypto Wallet,0,0
