Contract ID,Country,Supplier,Contract Value (USD),Bidders Count,Award Date,Contract Duration (Months),Risk Score
0843d8ee,Morocco,Price-Ball,6139771.12,10,2022-04-29,24,Low
7ca1579c,Kenya,West Inc,49537676.48,3,2022-08-08,12,High
84d6c35a,Senegal,Kidd Ltd,7542808.15,1,2022-01-25,6,High
5d37ea83,Tanzania,Evans PLC,4027870.72,3,2020-09-09,36,Low
5cb9ad36,Morocco,"Lara, Nunez and Lewis",42497530.63,5,2023-12-04,12,High
00a8d3f2,Rwanda,"Vaughn, Castro and Parker",27861507.74,2,2020-07-13,6,High
a12a4ea0,Ghana,Jordan PLC,1500278.17,3,2021-04-24,12,Low
3bf72fc9,Zambia,Green PLC,45747042.66,2,2021-10-15,36,High
d060128c,Ghana,"Lewis, Fields and Arroyo",45481633.34,10,2023-07-13,6,High
809a9694,Morocco,Guerrero-Nelson,40598344.32,1,2023-01-18,36,High
bd3a52cd,Rwanda,"Collins, Carpenter and Armstrong",4716846.74,10,2020-08-28,3,Low
7c2b8ddd,Rwanda,Moon-Ryan,13499771.65,1,2022-08-06,3,High
0f589709,Egypt,"Padilla, Beck and Barnes",28381508.68,2,2024-01-31,36,High
a7c55d9d,Nigeria,"Rogers, Bird and Woods",13628503.94,1,2020-09-04,3,High
6e374103,South Africa,Williams-Beard,4299901.37,5,2024-10-16,36,Low
829dc09f,Egypt,Rowland-Cannon,19414781.81,3,2020-08-16,3,High
e2b3ad84,Egypt,"Schwartz, Blackwell and Thompson",11828726.59,1,2024-09-15,12,High
b875c0e6,Tanzania,"Johnson, Frazier and Nelson",6909513.69,5,2023-08-07,36,Low
f550c400,Tanzania,Torres PLC,23743602.2,2,2022-08-21,24,High
0ac7294f,Ghana,Arnold Inc,2446421.24,5,2022-05-11,36,Low
30f37fe0,South Africa,"Medina, Coleman and Wade",1268759.82,2,2021-01-12,36,Low
8cba0973,South Africa,Jones Inc,5083333.58,5,2020-05-06,6,Low
380a7c35,South Africa,Jones PLC,44156671.15,5,2020-05-23,6,High
eb932adc,Kenya,Carlson-Grant,31906148.4,2,2022-05-31,6,High
ef36a29d,Kenya,Hart PLC,10681346.95,5,2024-03-15,12,High
4668a2a2,Rwanda,"Bowers, Mason and Lawrence",7635732.31,2,2025-01-03,3,Medium
4172ee8c,Ghana,Mclean Ltd,39054567.75,5,2024-04-24,3,High
be880c62,Ethiopia,Aguilar-Ramirez,26233395.93,3,2020-09-02,3,High
105322a3,South Africa,"Davidson, Hensley and Smith",41985101.93,3,2022-01-24,24,High
9b04f1fa,Tanzania,Brooks Ltd,41017358.03,10,2024-09-13,12,High
46f42ae1,Tanzania,Andrade-Robinson,34091713.03,10,2021-01-19,12,High
59264c6b,Morocco,"White, Lawrence and Carter",47585696.71,2,2024-12-18,6,High
fb2558f0,South Africa,Palmer Group,595899.36,1,2023-02-24,3,High
1ad145fb,Rwanda,"Haney, Miller and Austin",6007655.3,1,2024-03-18,6,High
94570705,Tanzania,"Cummings, Garza and Long",30408503.6,2,2021-12-12,24,High
